OverallQual,TotalBsmtSF,CentralAir,GrLivArea,SalePrice
5,0,Y,1771,115000
4,0,Y,930,84900
7,1302,Y,1302,176485
7,1316,Y,1316,200141
6,816,Y,1977,165000
5,1216,Y,1526,144500
8,1065,Y,1989,255000
6,1193,Y,1523,180000
7,1364,Y,1364,185850
7,973,Y,1850,248000
9,1104,Y,2184,335000
6,854,Y,1991,220000
8,1338,Y,1338,213500
3,894,Y,894,81000
5,662,N,2337,90000
6,1103,Y,1103,110500
5,1154,Y,1154,154000
7,1306,Y,2260,328000
6,799,Y,1571,178000
6,780,Y,1611,167900
6,942,Y,2521,151400
5,845,Y,893,135000
5,1048,Y,1048,135000
6,727,Y,1556,154000
5,810,Y,1456,91500
6,690,Y,1426,159500
7,1240,Y,1240,194000
7,800,Y,1740,219500
5,796,Y,1466,170000
5,1096,Y,1096,138800
6,848,Y,848,155900
5,990,Y,990,126000
6,1258,Y,1258,145000
5,1040,Y,1040,133000
7,1459,Y,1459,192000
6,1251,Y,1251,160000
6,691,Y,1498,187500
6,936,Y,996,147000
4,546,Y,1092,83500
8,1082,Y,1953,252000
7,970,Y,1709,137500
8,1247,Y,1247,197000
3,0,N,1040,92900
7,600,Y,1252,160000
6,1181,Y,1694,136500
5,864,Y,1200,146000
5,936,Y,936,129000
6,1314,Y,1314,176432
6,684,Y,1355,127000
8,1074,Y,1088,170000
4,672,Y,1324,128000
7,1271,Y,1601,157000
2,290,N,438,60000
5,950,Y,950,119500
5,1010,Y,1134,135000
6,655,Y,1194,159500
5,630,Y,1302,106000
8,1463,Y,2622,325000
7,910,Y,1442,179900
7,868,Y,2021,274725
6,924,Y,1690,181000
8,1836,Y,1836,280000
6,773,Y,1658,188000
7,803,Y,1964,205000
5,816,Y,816,129900
5,1008,Y,1008,134500
5,833,Y,833,117000
8,1734,Y,1734,318000
8,408,Y,1419,184100
5,894,Y,894,130000
5,533,Y,1601,140000
5,1040,Y,1040,133700
6,1012,Y,1012,118400
7,1552,Y,1552,212900
4,672,Y,960,112000
5,698,Y,698,118000
7,384,Y,1482,163900
4,1005,Y,1005,115000
7,1373,Y,1555,174000
7,1530,Y,1530,259000
7,847,Y,1959,215000
5,936,Y,936,140000
4,1122,Y,1981,135000
5,974,Y,974,93500
6,1008,Y,2210,117500
8,1128,Y,2020,239500
6,916,Y,1600,169000
6,960,N,986,102000
6,1032,Y,1252,119000
5,780,N,1020,94000
6,1567,Y,1567,196000
5,915,Y,1167,144000
5,952,Y,952,139000
5,780,Y,1868,197500
8,1466,Y,2828,424870
5,1006,Y,1006,80000
4,672,N,924,80000
5,1042,Y,1576,149000
6,1298,Y,1298,180000
7,704,Y,1564,174500
7,572,Y,1111,116900
7,650,Y,1482,143000
6,932,Y,932,124000
5,1466,Y,1466,149900
6,1073,Y,1811,230000
6,816,Y,816,120500
7,864,Y,1820,201800
5,1437,Y,1437,218000
5,1219,Y,1265,179900
7,1314,Y,1314,230000
8,1580,Y,1580,235128
6,901,Y,1876,185000
6,855,Y,1456,146000
6,1296,Y,1640,224000
5,894,Y,894,129000
4,1198,Y,1258,108959
5,1360,Y,1432,194000
7,1502,Y,1502,233170
8,1694,Y,1694,245350
6,959,Y,1671,173000
6,1127,Y,2108,235000
10,1930,Y,3627,625000
6,1096,Y,1118,171000
6,1261,Y,1261,163000
7,625,Y,1250,171900
5,1598,Y,3086,200500
6,952,Y,2345,239000
8,1683,Y,2872,285000
5,876,Y,923,119500
6,818,Y,1224,115000
5,731,Y,1343,154900
5,0,Y,1124,93000
7,1216,Y,2514,250000
8,1600,Y,1652,392500
10,2396,Y,4476,745000
5,1120,Y,1130,120000
5,1572,Y,1572,186700
5,784,Y,1221,104900
3,978,Y,1699,95000
8,1624,Y,1624,262000
7,831,Y,1660,195000
7,994,Y,1804,189000
4,1249,Y,1622,168000
8,776,Y,1441,174000
5,702,Y,1472,125000
6,1224,Y,1224,165000
6,663,Y,1352,158000
6,728,Y,1456,176000
7,879,Y,1863,219210
7,815,Y,1690,144000
7,1212,Y,1212,178000
4,1051,Y,1382,148000
4,864,Y,864,116050
7,866,Y,1779,197900
5,884,Y,1348,117000
7,1630,Y,1630,213000
5,1056,Y,1074,153500
7,2158,Y,2196,271900
4,1056,Y,1056,107000
6,1682,Y,1700,200000
5,931,Y,1283,140000
8,1660,Y,1660,290000
6,1055,Y,1845,189000
8,559,Y,1752,164000
4,672,Y,672,113000
4,648,Y,960,145000
5,925,Y,999,134500
5,894,Y,894,125000
6,0,Y,1902,112000
8,1300,Y,1314,229456
4,0,N,912,80500
6,672,Y,1218,91500
5,912,Y,912,115000
5,952,Y,1211,134000
6,1040,Y,1846,143000
5,2136,N,2136,137900
7,788,Y,1490,184000
6,588,Y,1138,145000
6,894,Y,1933,214000
5,912,Y,912,147000
9,1702,Y,1702,367294
5,1075,Y,1507,127000
5,1361,Y,2620,190000
5,1106,Y,1190,132500
4,0,Y,1224,101800
5,1188,Y,1188,142000
5,940,N,1964,130000
5,747,Y,1784,138887
7,764,Y,1626,175500
7,847,Y,1948,195000
6,1141,Y,1141,142500
8,1476,Y,1484,265900
7,884,Y,1768,224900
7,1689,Y,1689,248328
7,1053,Y,1173,170000
10,2076,Y,2076,465000
8,792,Y,1517,230000
6,585,Y,1868,178000
7,756,Y,1553,186500
6,1012,Y,1034,169900
6,735,N,2058,129500
5,876,Y,988,119000
7,2110,Y,2110,244000
7,1405,Y,1405,171750
5,864,Y,874,130000
7,1192,Y,2167,294000
7,746,Y,1656,165400
6,884,Y,1367,127500
8,1986,Y,1987,301500
5,864,Y,864,99900
7,856,Y,1166,190000
6,1054,Y,1054,151000
6,841,Y,1675,181000
5,1050,Y,1050,128900
4,1104,Y,1788,161500
6,764,Y,1824,180500
6,1405,Y,1337,181000
7,691,Y,1452,183900
7,925,N,1889,122000
9,2002,Y,2018,378500
8,728,Y,3447,381000
5,874,Y,1524,144000
7,1332,Y,1524,260000
6,1489,Y,1489,185750
5,935,Y,935,137000
6,1019,Y,1357,177000
5,661,Y,1250,139000
5,928,Y,1920,137000
6,723,Y,1395,162000
6,1680,Y,1724,197900
8,1128,Y,2031,237000
4,698,Y,1128,68400
7,1573,Y,1573,227000
7,1309,Y,1339,180000
5,1040,Y,1040,150500
6,912,Y,1824,139000
6,804,Y,2447,169000
6,780,Y,1412,132500
6,1328,Y,1328,143000
5,1624,Y,1582,190000
8,1501,Y,1659,278000
8,1085,Y,1970,281000
5,1152,Y,1152,180500
5,630,Y,1302,119500
5,994,N,2372,107500
7,832,Y,1664,162900
5,864,Y,864,115000
5,1052,Y,1052,138500
5,1120,Y,1128,155000
6,547,Y,1072,140000
10,6110,Y,5642,160000
5,1246,Y,1246,154000
7,978,Y,1983,225000
6,771,Y,1494,177500
8,1165,Y,2526,290000
7,1616,Y,1616,232000
7,976,Y,1708,130000
9,1652,Y,1652,325000
7,1368,Y,1368,202500
5,990,Y,990,138000
5,924,Y,1122,147000
6,1278,Y,1294,179200
7,1902,Y,1902,335000
7,1274,Y,1274,203000
8,1453,Y,2810,302000
9,1393,Y,2599,333168
4,948,Y,948,119000
6,952,Y,2112,206900
8,1622,Y,1630,295493
7,1352,Y,1352,208900
8,1753,Y,1787,275000
4,864,Y,948,111000
6,1478,Y,1478,156500
3,0,N,720,72500
7,750,Y,1923,190000
4,420,Y,708,82500
8,1795,Y,1795,147000
4,796,N,796,55000
3,544,Y,774,79000
5,816,Y,816,130500
6,1510,Y,2792,256000
7,935,Y,1632,176500
8,1588,Y,1588,227000
5,911,Y,954,132500
4,816,Y,816,100000
5,803,Y,1360,125500
5,765,Y,1365,125000
6,1350,Y,1334,167900
5,1656,Y,1656,135000
4,693,N,693,52500
7,916,Y,1861,200000
5,864,Y,864,128500
4,858,Y,872,123000
6,1114,Y,1114,155000
8,1284,Y,2169,228500
6,896,Y,1913,177000
7,728,Y,1456,155835
4,960,Y,960,108500
7,1568,Y,2156,262500
8,1732,Y,1776,283463
7,1482,Y,1494,215000
8,684,N,2358,122000
5,1248,Y,2634,200000
6,858,Y,1716,171000
6,698,Y,1176,134900
8,2033,Y,3238,410000
7,992,Y,1865,235000
7,570,Y,1920,170000
5,864,Y,892,110000
5,1078,Y,1078,149900
6,756,Y,1573,177500
9,1980,Y,1980,315000
5,612,Y,2601,189000
7,1530,Y,1530,260000
4,715,Y,1738,104900
6,616,Y,1412,156932
7,600,Y,1200,144152
7,814,Y,1674,216000
7,873,Y,1790,193000
5,757,Y,1475,127000
6,848,Y,848,144000
8,1657,Y,1668,232000
4,840,Y,1374,105000
6,992,Y,1661,165500
7,1108,Y,2097,274300
10,2633,Y,2633,466500
7,1026,Y,1958,250000
8,1571,Y,1571,239000
6,768,N,790,91000
5,984,Y,1604,117000
6,483,Y,987,83000
5,384,Y,1394,167500
3,864,N,864,58500
6,1205,Y,2117,237500
7,596,Y,1762,157000
5,816,Y,1416,112000
6,560,Y,1258,105000
4,796,Y,1154,125500
7,1392,Y,2784,250000
6,714,N,2526,136000
9,1746,Y,1746,377500
6,735,Y,1218,131000
7,1525,Y,1525,235000
5,1584,Y,1584,124000
5,864,Y,900,123000
6,482,N,1912,163000
7,1356,Y,1500,246578
8,1094,Y,2482,281213
5,747,Y,1687,160000
5,939,Y,1513,137500
5,1208,Y,1904,138000
6,976,Y,1608,137450
6,862,Y,1158,120000
6,839,Y,1593,193000
7,1286,Y,1294,193879
8,1485,Y,1464,282922
3,672,Y,1214,105000
8,1594,Y,1646,275000
5,768,Y,768,133000
5,833,Y,833,112000
4,622,Y,1363,125500
7,791,Y,2093,215000
7,944,Y,1840,230000
6,856,Y,1668,140000
4,0,N,1040,90000
8,1844,Y,1844,257000
6,833,Y,1848,207000
7,1386,Y,1569,175900
4,777,Y,2290,122500
8,1284,Y,2450,340000
5,1144,Y,1144,124000
6,1844,Y,1844,223000
6,708,Y,1416,179900
6,1069,Y,1069,127500
6,848,Y,848,136500
6,697,Y,2201,274970
5,1024,Y,1344,144000
6,1252,Y,1252,142000
7,1223,Y,2127,271000
5,913,Y,1558,140000
5,788,Y,804,119000
6,1440,Y,1440,182900
5,732,Y,1838,192140
6,958,Y,958,143750
4,656,Y,968,64500
6,936,Y,1792,186500
5,1126,Y,1126,160000
6,1319,Y,1537,174000
4,864,Y,864,120500
8,1932,Y,1932,394617
6,912,Y,1236,149700
7,539,Y,1725,197000
6,588,Y,2555,191000
6,848,Y,848,149300
10,1017,Y,2007,310000
6,952,N,952,121000
7,1422,Y,1422,179600
6,814,Y,913,129000
5,1188,Y,1188,157900
8,1220,Y,2090,240000
4,560,N,1346,112000
5,630,Y,630,92000
5,896,Y,1792,136000
8,1573,Y,1578,287090
5,547,Y,1072,145000
5,1140,Y,1140,84500
7,1221,Y,1221,185000
6,953,Y,1647,175000
6,1542,Y,2073,210000
7,1152,Y,2340,266500
5,1078,Y,1078,142125
5,1256,Y,1256,147500
